date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:48	70019/70019	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:49%20GMT	https://sites.google.com/view/projectalmanac/home	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/home.html	(from )
19:48:49	67/67	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Jan%202022%2000:48:50%20GMT	https://sites.google.com/robots.txt		(from )
19:48:49	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/projectalmanac/home)
19:48:49	12982/12982	---MC-	200	added ('OK')	application/javascript	date:Sun,%2016%20Jan%202022%2000:48:50%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/projectalmanac/home)
19:48:50	64291/64291	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:51%20GMT	https://sites.google.com/view/projectalmanac/region-info	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/region-info.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:50	58814/58814	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:51%20GMT	https://sites.google.com/view/projectalmanac/events	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/events.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:51	58815/58815	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:51%20GMT	https://sites.google.com/view/projectalmanac/guides	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/guides.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:51	58802/58802	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:52%20GMT	https://sites.google.com/view/projectalmanac/tools	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/tools.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:51	58828/58828	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:52%20GMT	https://sites.google.com/view/projectalmanac/modding	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/modding.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:52	58994/58994	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:53%20GMT	https://sites.google.com/view/projectalmanac/character-resources	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/character-resources.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:52	58793/58793	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:53%20GMT	https://sites.google.com/view/projectalmanac/blog	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/blog.html	(from https://sites.google.com/view/projectalmanac/home)
19:48:53	59522/59522	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2000:48:53%20GMT	https://sites.google.com/view/projectalmanac/feedback	C:/Users/Davis%20Family/Desktop/New%20folder%20(2)/reeeeeee/sites.google.com/view/projectalmanac/feedback.html	(from https://sites.google.com/view/projectalmanac/home)
